date,session_id,device,coupon_applied,cart_step,address_step,payment_step,order_confirmed
2026-08-01,100001,Android,True,1791,1516,1331,1245
2026-08-01,100002,Android,False,4888,3866,3188,3034
2026-08-01,100003,iOS,True,1160,962,790,756
2026-08-01,100004,iOS,False,3466,2754,2298,2093
2026-08-01,100005,Web,True,588,480,410,376
2026-08-01,100006,Web,False,1789,1412,1190,1097
2026-08-02,100007,Android,True,1821,1520,1270,1182
2026-08-02,100008,Android,False,5347,4188,3637,3310
2026-08-02,100009,iOS,True,1038,878,787,746
2026-08-02,100010,iOS,False,3122,2456,2148,1989
2026-08-02,100011,Web,True,565,460,378,360
2026-08-02,100012,Web,False,1665,1375,1161,1081
2026-08-03,100013,Android,True,1483,1175,1054,997
2026-08-03,100014,Android,False,4569,3850,3341,3191
2026-08-03,100015,iOS,True,835,662,545,501
2026-08-03,100016,iOS,False,2542,2031,1800,1658
2026-08-03,100017,Web,True,468,382,317,300
2026-08-03,100018,Web,False,1280,1086,957,872
2026-08-04,100019,Android,True,1324,1108,971,916
2026-08-04,100020,Android,False,4427,3476,2950,2675
2026-08-04,100021,iOS,True,975,803,679,613
2026-08-04,100022,iOS,False,2501,2007,1762,1653
2026-08-04,100023,Web,True,527,428,355,334
2026-08-04,100024,Web,False,1473,1206,1063,988
2026-08-05,100025,Android,True,1476,1195,982,890
2026-08-05,100026,Android,False,3806,3138,2652,2467
2026-08-05,100027,iOS,True,983,783,667,630
2026-08-05,100028,iOS,False,2458,1930,1627,1480
2026-08-05,100029,Web,True,532,445,387,368
2026-08-05,100030,Web,False,1485,1177,1049,978
2026-08-06,100031,Android,True,1560,1314,1110,1006
2026-08-06,100032,Android,False,3971,3216,2847,2709
2026-08-06,100033,iOS,True,820,668,570,520
2026-08-06,100034,iOS,False,2402,1930,1728,1588
2026-08-06,100035,Web,True,491,407,345,330
2026-08-06,100036,Web,False,1529,1219,1048,962
2026-08-07,100037,Android,True,1406,1100,955,888
2026-08-07,100038,Android,False,3823,3056,2727,2493
2026-08-07,100039,iOS,True,845,688,618,565
2026-08-07,100040,iOS,False,2689,2240,1879,1773
2026-08-07,100041,Web,True,476,392,341,317
2026-08-07,100042,Web,False,1285,1077,910,829
2026-08-08,100043,Android,True,1668,1370,1197,1078
2026-08-08,100044,Android,False,5262,4187,3649,3322
2026-08-08,100045,iOS,True,1180,952,851,772
2026-08-08,100046,iOS,False,3146,2478,2215,2110
2026-08-08,100047,Web,True,582,480,424,395
2026-08-08,100048,Web,False,1760,1402,1160,1106
2026-08-09,100049,Android,True,1984,1635,1385,1275
2026-08-09,100050,Android,False,5487,4624,4119,3899
2026-08-09,100051,iOS,True,1169,918,764,728
2026-08-09,100052,iOS,False,3319,2590,2144,2014
2026-08-09,100053,Web,True,551,435,375,353
2026-08-09,100054,Web,False,1803,1434,1257,1149
2026-08-10,100055,Android,True,1418,1180,813,763
2026-08-10,100056,Android,False,4257,3348,2843,2603
2026-08-10,100057,iOS,True,863,731,622,593
2026-08-10,100058,iOS,False,2668,2229,1917,1791
2026-08-10,100059,Web,True,488,387,339,310
2026-08-10,100060,Web,False,1266,1044,870,832
2026-08-11,100061,Android,True,1603,1352,958,915
2026-08-11,100062,Android,False,4139,3508,3146,2992
2026-08-11,100063,iOS,True,872,703,624,573
2026-08-11,100064,iOS,False,2428,1988,1779,1675
2026-08-11,100065,Web,True,496,390,338,324
2026-08-11,100066,Web,False,1299,1060,943,890
2026-08-12,100067,Android,True,1527,1266,878,832
2026-08-12,100068,Android,False,4460,3749,3348,3115
2026-08-12,100069,iOS,True,909,759,661,622
2026-08-12,100070,iOS,False,2753,2318,1963,1810
2026-08-12,100071,Web,True,450,369,303,281
2026-08-12,100072,Web,False,1411,1128,978,881
2026-08-13,100073,Android,True,1333,1116,783,729
2026-08-13,100074,Android,False,4426,3519,3060,2769
2026-08-13,100075,iOS,True,828,676,583,546
2026-08-13,100076,iOS,False,2717,2304,1984,1824
2026-08-13,100077,Web,True,518,413,353,319
2026-08-13,100078,Web,False,1267,1073,951,895
2026-08-14,100079,Android,True,1443,1143,777,724
2026-08-14,100080,Android,False,4380,3618,3047,2916
2026-08-14,100081,iOS,True,953,780,677,626
2026-08-14,100082,iOS,False,2468,1986,1748,1574
2026-08-14,100083,Web,True,452,354,291,276
2026-08-14,100084,Web,False,1457,1184,980,910
2026-08-15,100085,Android,True,1827,1447,1005,941
2026-08-15,100086,Android,False,5391,4222,3588,3363
2026-08-15,100087,iOS,True,1138,955,833,757
2026-08-15,100088,iOS,False,2970,2450,2014,1883
2026-08-15,100089,Web,True,666,546,464,435
2026-08-15,100090,Web,False,1735,1419,1270,1172
2026-08-16,100091,Android,True,2006,1691,1170,1060
2026-08-16,100092,Android,False,4744,3731,3263,2950
2026-08-16,100093,iOS,True,1096,919,755,716
2026-08-16,100094,iOS,False,3108,2449,2144,2010
2026-08-16,100095,Web,True,658,547,483,442
2026-08-16,100096,Web,False,1637,1362,1204,1155
2026-08-17,100097,Android,True,1444,1163,843,805
2026-08-17,100098,Android,False,4501,3645,3207,3031
2026-08-17,100099,iOS,True,837,705,606,575
2026-08-17,100100,iOS,False,2506,2111,1796,1617
2026-08-17,100101,Web,True,529,416,351,335
2026-08-17,100102,Web,False,1526,1251,1089,1009
2026-08-18,100103,Android,True,1409,1131,787,745
2026-08-18,100104,Android,False,4443,3493,3002,2712
2026-08-18,100105,iOS,True,918,744,662,609
2026-08-18,100106,iOS,False,2400,1896,1670,1564
2026-08-18,100107,Web,True,450,353,309,279
2026-08-18,100108,Web,False,1490,1235,1020,923
2026-08-19,100109,Android,True,1612,1299,869,831
2026-08-19,100110,Android,False,4608,3837,3261,2951
2026-08-19,100111,iOS,True,960,786,671,640
2026-08-19,100112,iOS,False,2397,1952,1602,1486
2026-08-19,100113,Web,True,446,351,291,273
2026-08-19,100114,Web,False,1468,1204,1079,995
2026-08-20,100115,Android,True,1406,1182,767,690
2026-08-20,100116,Android,False,4594,3597,3205,2985
2026-08-20,100117,iOS,True,999,784,677,648
2026-08-20,100118,iOS,False,2612,2152,1884,1746
2026-08-20,100119,Web,True,502,412,367,331
2026-08-20,100120,Web,False,1338,1132,1008,934
2026-08-21,100121,Android,True,1505,1203,808,744
2026-08-21,100122,Android,False,4270,3353,3010,2887
2026-08-21,100123,iOS,True,946,773,653,619
2026-08-21,100124,iOS,False,2696,2133,1904,1807
2026-08-21,100125,Web,True,533,442,384,355
